lead_id,created_date,source,budget_tier,company_size,converted
1,2026-02-25,paid_search,mid,46,False
2,2026-05-06,event,enterprise,8,False
3,2026-04-13,paid_search,low,14,False
4,2026-05-11,paid_search,enterprise,34,False
5,2026-06-16,event,enterprise,51,False
6,2026-03-13,paid_search,low,100,False
7,2026-04-08,paid_search,enterprise,23,True
8,2026-03-29,referral,mid,5,False
9,2026-04-02,event,mid,9,True
10,2026-05-24,event,low,13,False
11,2026-05-23,organic,mid,31,False
12,2026-04-10,cold_outreach,enterprise,33,False
13,2026-04-19,organic,enterprise,102,False
14,2026-02-17,event,low,2,False
15,2026-07-04,referral,enterprise,15,False
16,2026-05-15,organic,low,49,False
17,2026-03-27,event,mid,32,False
18,2026-03-06,event,enterprise,24,True
19,2026-08-01,paid_search,mid,288,False
20,2026-02-11,paid_search,mid,48,False
21,2026-07-02,event,mid,15,False
22,2026-04-02,paid_search,enterprise,1,False
23,2026-06-29,organic,mid,8,True
24,2026-06-26,referral,enterprise,34,True
25,2026-06-04,referral,enterprise,76,False
26,2026-05-26,organic,mid,31,True
27,2026-04-01,paid_search,enterprise,22,False
28,2026-05-29,cold_outreach,low,79,True
29,2026-05-24,event,mid,20,False
30,2026-07-04,referral,enterprise,21,True
31,2026-03-05,organic,mid,19,False
32,2026-07-12,referral,enterprise,8,False
33,2026-06-22,organic,mid,34,False
34,2026-04-10,event,mid,90,False
35,2026-07-26,paid_search,low,7,True
36,2026-06-10,event,low,13,False
37,2026-04-30,paid_search,enterprise,25,False
38,2026-04-21,organic,low,3,False
39,2026-05-06,event,enterprise,22,False
40,2026-07-07,referral,enterprise,84,False
41,2026-06-07,event,mid,141,False
42,2026-04-11,cold_outreach,low,34,False
43,2026-03-11,paid_search,low,32,False
44,2026-05-06,cold_outreach,mid,15,True
45,2026-02-25,organic,low,11,False
46,2026-04-17,referral,mid,9,False
47,2026-03-14,event,enterprise,42,False
48,2026-07-18,organic,enterprise,182,False
49,2026-07-27,paid_search,enterprise,6,False
50,2026-04-27,event,enterprise,1,False
51,2026-03-06,organic,mid,4,False
52,2026-07-16,cold_outreach,enterprise,16,False
53,2026-04-02,cold_outreach,low,3,False
54,2026-02-23,referral,enterprise,29,False
55,2026-04-27,referral,enterprise,16,False
56,2026-06-19,event,enterprise,10,True
57,2026-06-24,organic,mid,44,False
58,2026-05-10,referral,mid,14,False
59,2026-07-07,organic,mid,18,True
60,2026-07-05,organic,enterprise,9,False
61,2026-05-04,event,mid,35,False
62,2026-02-23,paid_search,enterprise,2,False
63,2026-07-06,event,enterprise,46,False
64,2026-02-19,paid_search,mid,41,True
65,2026-05-16,organic,low,22,False
66,2026-05-16,paid_search,enterprise,6,False
67,2026-04-27,event,mid,28,False
68,2026-06-20,referral,enterprise,2,False
69,2026-05-11,referral,low,26,True
70,2026-03-09,event,low,4,False
71,2026-02-18,event,enterprise,36,False
72,2026-02-22,organic,mid,37,False
73,2026-07-29,organic,mid,83,False
74,2026-07-11,referral,low,55,False
75,2026-02-11,referral,mid,11,True
76,2026-08-06,event,low,18,False
77,2026-03-28,cold_outreach,enterprise,19,False
78,2026-07-13,paid_search,low,42,False
79,2026-05-30,organic,low,10,False
80,2026-08-05,cold_outreach,mid,21,False
81,2026-02-18,event,enterprise,47,False
82,2026-03-09,event,low,228,False
83,2026-03-03,referral,low,29,False
84,2026-07-03,event,mid,3,True
85,2026-04-12,paid_search,enterprise,115,False
86,2026-08-03,paid_search,low,8,False
87,2026-05-28,referral,low,37,False
88,2026-04-18,event,low,68,False
89,2026-05-11,event,low,83,False
90,2026-05-28,paid_search,low,7,False
91,2026-02-27,cold_outreach,enterprise,6,False
92,2026-08-01,event,low,3,True
93,2026-03-21,paid_search,low,4,True
94,2026-03-23,event,enterprise,5,False
95,2026-04-17,referral,enterprise,20,False
96,2026-06-05,referral,low,11,False
97,2026-02-15,paid_search,mid,14,False
98,2026-03-25,paid_search,mid,8,False
99,2026-05-11,referral,low,56,False
100,2026-04-21,organic,enterprise,42,False
101,2026-03-27,paid_search,mid,14,False
102,2026-05-24,organic,low,3,False
103,2026-05-03,event,enterprise,5,False
104,2026-07-27,cold_outreach,enterprise,3,False
105,2026-04-28,paid_search,low,12,True
106,2026-04-06,organic,low,47,False
107,2026-06-01,organic,mid,3,True
108,2026-06-07,event,low,21,False
109,2026-02-27,paid_search,enterprise,64,False
110,2026-04-19,paid_search,mid,28,False
111,2026-06-05,paid_search,low,10,False
112,2026-05-01,referral,low,9,True
113,2026-03-27,paid_search,low,7,False
114,2026-06-30,organic,low,11,False
115,2026-03-05,event,enterprise,11,False
116,2026-05-23,event,low,26,False
117,2026-05-01,event,low,19,False
118,2026-05-21,cold_outreach,enterprise,43,False
119,2026-08-05,organic,low,8,False
120,2026-07-10,organic,low,11,False
121,2026-05-05,cold_outreach,low,12,False
122,2026-05-02,organic,low,19,False
123,2026-02-16,organic,mid,40,False
124,2026-04-22,organic,low,23,False
125,2026-08-06,cold_outreach,enterprise,10,False
126,2026-06-12,referral,low,23,False
127,2026-04-20,event,enterprise,19,True
128,2026-06-27,paid_search,enterprise,15,False
129,2026-05-27,paid_search,enterprise,26,False
130,2026-04-06,referral,low,7,False
131,2026-03-29,referral,enterprise,4,False
132,2026-07-20,paid_search,low,112,False
133,2026-04-12,organic,enterprise,24,False
134,2026-03-20,event,low,29,False
135,2026-04-01,cold_outreach,low,13,False
136,2026-07-22,event,mid,96,False
137,2026-07-27,referral,low,37,False
138,2026-06-01,referral,mid,89,False
139,2026-03-21,cold_outreach,low,92,True
140,2026-04-01,paid_search,mid,46,False
141,2026-04-01,referral,enterprise,7,True
142,2026-05-13,referral,mid,28,False
143,2026-05-13,cold_outreach,low,58,False
144,2026-08-07,event,low,6,False
145,2026-03-24,organic,low,2,False
146,2026-04-27,cold_outreach,mid,41,False
147,2026-04-25,referral,mid,89,False
148,2026-06-06,event,mid,42,False
149,2026-05-12,paid_search,mid,102,False
150,2026-03-15,paid_search,enterprise,88,False
151,2026-07-27,event,mid,8,False
152,2026-04-06,referral,mid,30,False
153,2026-07-03,referral,mid,17,False
154,2026-07-01,organic,low,11,False
155,2026-04-23,paid_search,enterprise,17,False
156,2026-06-25,organic,enterprise,37,True
157,2026-02-15,event,enterprise,92,False
158,2026-05-04,cold_outreach,enterprise,3,False
159,2026-05-04,cold_outreach,mid,5,False
160,2026-03-28,cold_outreach,mid,50,False
161,2026-06-12,cold_outreach,mid,78,False
162,2026-02-25,organic,low,6,False
163,2026-07-18,paid_search,mid,29,False
164,2026-03-08,event,low,129,False
165,2026-07-17,event,mid,27,False
166,2026-08-02,organic,low,12,False
167,2026-04-06,paid_search,low,4,False
168,2026-04-17,cold_outreach,mid,10,False
169,2026-03-26,event,enterprise,78,True
170,2026-07-15,referral,low,9,False
171,2026-03-14,referral,low,7,False
172,2026-05-12,paid_search,mid,15,False
173,2026-06-12,event,enterprise,21,False
174,2026-07-14,event,low,29,False
175,2026-06-29,event,enterprise,35,False
176,2026-05-27,event,mid,21,True
177,2026-02-21,event,mid,53,False
178,2026-06-26,organic,mid,10,False
179,2026-04-23,paid_search,enterprise,28,True
180,2026-06-13,organic,enterprise,49,False
181,2026-07-23,cold_outreach,enterprise,46,False
182,2026-07-11,cold_outreach,low,117,False
183,2026-06-24,cold_outreach,mid,33,False
184,2026-07-04,organic,mid,12,False
185,2026-03-19,event,mid,10,False
186,2026-06-16,event,enterprise,17,False
187,2026-07-21,event,mid,3,False
188,2026-04-15,cold_outreach,low,30,False
189,2026-06-15,cold_outreach,low,21,False
190,2026-07-17,organic,mid,20,False
191,2026-04-08,cold_outreach,mid,67,False
192,2026-03-04,paid_search,low,7,True
193,2026-03-07,cold_outreach,mid,4,False
194,2026-03-06,organic,enterprise,21,True
195,2026-04-21,organic,mid,27,False
196,2026-04-19,cold_outreach,low,4,False
197,2026-06-23,cold_outreach,low,3,False
198,2026-04-02,cold_outreach,low,46,False
199,2026-04-10,event,mid,31,False
200,2026-07-24,paid_search,mid,21,False
201,2026-02-19,cold_outreach,low,4,False
202,2026-02-17,referral,low,10,False
203,2026-04-11,paid_search,enterprise,141,False
204,2026-04-17,cold_outreach,mid,14,True
205,2026-02-27,paid_search,enterprise,18,True
206,2026-07-24,paid_search,enterprise,14,False
207,2026-02-28,event,mid,10,False
208,2026-05-25,event,mid,11,False
209,2026-08-05,cold_outreach,low,9,False
210,2026-08-03,organic,mid,48,False
211,2026-03-30,paid_search,enterprise,20,False
212,2026-02-12,organic,mid,16,True
213,2026-06-25,cold_outreach,low,126,False
214,2026-03-13,event,enterprise,120,True
215,2026-06-29,cold_outreach,mid,31,False
216,2026-07-31,paid_search,mid,88,False
217,2026-04-25,organic,enterprise,166,False
218,2026-07-11,cold_outreach,enterprise,20,False
219,2026-04-19,referral,enterprise,43,False
220,2026-05-12,paid_search,low,11,False
221,2026-05-13,event,enterprise,71,False
222,2026-07-20,referral,low,8,True
223,2026-05-25,paid_search,enterprise,11,False
224,2026-06-23,referral,low,31,False
225,2026-05-21,cold_outreach,mid,18,False
226,2026-05-04,paid_search,mid,19,False
227,2026-03-26,cold_outreach,mid,15,False
228,2026-05-19,organic,enterprise,29,False
229,2026-07-03,paid_search,mid,25,False
230,2026-04-13,cold_outreach,mid,11,False
231,2026-06-01,event,low,3,True
232,2026-03-13,referral,enterprise,16,True
233,2026-04-23,paid_search,enterprise,131,True
234,2026-06-13,paid_search,low,4,False
235,2026-04-17,cold_outreach,low,77,False
236,2026-06-05,event,low,12,False
237,2026-06-19,cold_outreach,low,4,False
238,2026-04-27,referral,mid,22,False
239,2026-05-30,paid_search,enterprise,47,False
240,2026-03-08,organic,mid,5,False
241,2026-03-09,referral,low,41,True
242,2026-04-17,event,enterprise,33,True
243,2026-03-16,paid_search,low,34,False
244,2026-06-30,cold_outreach,enterprise,45,False
245,2026-05-12,event,low,1,False
246,2026-06-01,event,enterprise,16,False
247,2026-06-25,paid_search,mid,46,False
248,2026-03-19,event,low,19,False
249,2026-04-25,paid_search,mid,34,False
250,2026-05-27,cold_outreach,low,16,False
251,2026-06-01,referral,low,3,False
252,2026-07-21,cold_outreach,enterprise,8,False
