lead_id,event_id,event_date,event_type
1,evt_00000004,2026-03-08,email_open
1,evt_00000012,2026-03-09,email_open
1,evt_00000009,2026-03-22,website_visit
1,evt_00000007,2026-03-29,email_open
1,evt_00000002,2026-04-11,website_visit
1,evt_00000010,2026-04-26,website_visit
1,evt_00000008,2026-05-26,email_open
1,evt_00000003,2026-06-09,website_visit
1,evt_00000001,2026-06-20,email_open
1,evt_00000006,2026-06-30,website_visit
1,evt_00000011,2026-08-03,email_open
1,evt_00000005,2026-08-04,website_visit
2,evt_00000014,2026-05-06,website_visit
2,evt_00000021,2026-05-13,email_click
2,evt_00000019,2026-06-16,email_open
2,evt_00000015,2026-06-19,website_visit
2,evt_00000017,2026-06-23,email_open
2,evt_00000018,2026-06-29,email_open
2,evt_00000020,2026-07-08,email_open
2,evt_00000016,2026-07-11,website_visit
2,evt_00000022,2026-07-17,email_click
2,evt_00000013,2026-07-21,email_open
3,evt_00000025,2026-04-19,email_open
3,evt_00000031,2026-05-02,email_open
3,evt_00000030,2026-05-20,website_visit
3,evt_00000023,2026-06-03,website_visit
3,evt_00000026,2026-06-03,email_open
3,evt_00000027,2026-06-30,email_click
3,evt_00000029,2026-06-30,email_open
3,evt_00000032,2026-07-13,email_open
3,evt_00000024,2026-07-18,email_open
3,evt_00000028,2026-08-08,website_visit
4,evt_00000036,2026-06-03,form_fill
4,evt_00000037,2026-06-03,website_visit
4,evt_00000033,2026-06-10,email_open
4,evt_00000035,2026-06-21,website_visit
4,evt_00000038,2026-07-14,email_open
4,evt_00000034,2026-08-05,form_fill
5,evt_00000040,2026-06-23,email_click
5,evt_00000039,2026-06-26,email_open
5,evt_00000043,2026-07-08,email_open
5,evt_00000041,2026-07-17,email_click
5,evt_00000042,2026-07-26,email_open
6,evt_00000055,2026-03-14,website_visit
6,evt_00000047,2026-03-22,website_visit
6,evt_00000048,2026-03-25,email_click
6,evt_00000058,2026-03-29,website_visit
6,evt_00000045,2026-04-04,email_open
6,evt_00000052,2026-04-21,email_open
6,evt_00000057,2026-04-29,email_click
6,evt_00000049,2026-05-17,email_click
6,evt_00000054,2026-05-17,email_open
6,evt_00000044,2026-06-08,email_click
6,evt_00000051,2026-07-11,email_click
6,evt_00000053,2026-07-17,email_click
6,evt_00000056,2026-07-24,email_open
6,evt_00000050,2026-07-30,email_click
6,evt_00000046,2026-08-02,email_click
7,evt_00000059,2026-04-21,email_open
7,evt_00000061,2026-04-28,email_open
7,evt_00000060,2026-04-30,form_fill
7,evt_00000067,2026-05-16,website_visit
7,evt_00000068,2026-05-28,website_visit
7,evt_00000066,2026-06-04,email_click
7,evt_00000064,2026-07-21,website_visit
7,evt_00000065,2026-07-26,website_visit
7,evt_00000062,2026-08-05,email_open
7,evt_00000063,2026-08-08,website_visit
8,evt_00000083,2026-04-09,website_visit
8,evt_00000078,2026-04-15,website_visit
8,evt_00000087,2026-04-15,email_open
8,evt_00000076,2026-04-17,email_open
8,evt_00000070,2026-04-18,email_open
8,evt_00000082,2026-04-24,website_visit
8,evt_00000077,2026-05-05,email_open
8,evt_00000079,2026-05-07,email_open
